relative_time,AccX,AccY,AccZ
115311,-0.6421737670898438,-1.3657035827636719,14.369498252868652
115379,,-0.7010970115661621,10.042377471923828
115380,-2.2722842693328857,,
115447,-2.2836501598358154,-1.0274182558059692,10.122536659240723
115513,-1.0773683786392212,-0.742672324180603,6.544070720672607
115581,,,4.652843475341797
115582,-1.5604194402694702,0.5258227586746216,
115648,-1.6803597211837769,-0.2916252613067627,8.331210136413574
115717,-1.8816559314727783,-0.8210372924804688,9.754042625427246
115784,-3.790530204772949,-1.0701899528503418,12.840185165405273
115850,-3.648456335067749,-2.6545376777648926,16.603199005126953
115918,-5.030311584472656,-0.6173482537269592,9.837491989135742
115985,-3.859323740005493,0.506381094455719,7.503293514251709
116052,-2.26749849319458,0.34277185797691345,6.273681640625
116121,-1.6046867370605469,0.20129621028900146,6.658926486968994
116194,,,9.233304023742676
116195,-1.2664014101028442,0.03170489892363548,
116256,-1.66929292678833,0.86470627784729,10.653145790100098
116322,,1.1377872228622437,13.397114753723145
116323,-2.1765713691711426,,
116389,-0.9693922996520996,0.3161516785621643,14.235200881958008
116461,-1.4168500900268555,0.4214358925819397,10.847562789916992
116527,,,10.326525688171387
116528,-1.3384851217269897,-0.48394837975502014,
116591,,-0.32691940665245056,7.124031066894531
116592,-0.2841476798057556,,
116662,-0.3927220106124878,0.6239284873008728,5.603392601013184
116729,0.2880360186100006,0.09272187948226929,7.973483085632324
116796,-0.025423740968108177,0.03320041298866272,9.748658180236816
116863,-1.1575279235839844,0.37507495284080505,9.931111335754395
116928,-1.4069796800613403,-2.6503500938415527,14.617155075073242
116997,-1.2370892763137817,-2.8304100036621094,12.784552574157715
117064,-2.9413771629333496,-0.3113660514354706,8.903095245361328
117130,,0.5123631358146667,9.106484413146973
117131,-1.6959130764007568,,
117199,-0.784247636795044,0.9424729943275452,7.57298469543457
117270,-0.7492526173591614,0.755832850933075,8.329116821289062
117332,,0.9571290612220764,9.99990463256836
117333,-0.8656035661697388,,
117402,-1.0193424224853516,0.6885347366333008,12.364911079406738
117468,0.34247273206710815,-0.24855445325374603,14.217852592468262
117537,1.3609179258346558,-1.1273186206817627,11.742776870727539
117605,,-1.0223335027694702,8.781061172485352
117607,1.4988043308258057,,
117671,0.06729813665151596,-0.3681955933570862,9.188737869262695
117738,-0.45523449778556824,0.3406781256198883,7.4108710289001465
117805,,,6.693323135375977
117806,-0.8123632669448853,0.9574281573295593,
117873,,0.667298436164856,9.725028991699219
117874,-0.755533754825592,,
117940,-0.8353942036628723,0.8620143532752991,10.159626007080078
118007,,,9.975079536437988
118008,-0.9900303483009338,1.2370892763137817,
118075,,,16.23350715637207
118076,-0.7785646915435791,-2.126322031021118,
118143,-1.908276081085205,-1.0959128141403198,11.363813400268555
118208,,,7.2451677322387695
118209,-2.1960129737854004,0.5362913608551025,
118278,-0.032602209597826004,-0.1133599728345871,7.094120979309082
118345,,-0.002093719784170389,7.10219669342041
118346,0.19710876047611237,,
118411,-0.18753747642040253,0.529412031173706,8.113463401794434
118482,,,10.600204467773438
118483,0.29431718587875366,0.7223333120346069,
118551,-0.2868396043777466,0.3248256742954254,15.77109432220459
118616,0.5461617708206177,0.23958136141300201,15.402599334716797
118683,1.0615159273147583,0.07567301392555237,10.968400001525879
118750,,,10.623534202575684
118751,-0.22432711720466614,0.0771685317158699,
118817,-0.264706015586853,-0.12622138857841492,8.394919395446777
118884,-0.7959126234054565,0.4408775866031647,5.111667156219482
118949,-0.9481559991836548,0.9436694383621216,4.064807415008545
119018,,,6.352046966552734
119019,-0.9233304262161255,-0.32213374972343445,
119086,-1.4039887189865112,-1.6034902334213257,7.196115016937256
119156,,,13.961820602416992
119157,-3.010469913482666,-3.6017963886260986,
119221,-4.639383792877197,-2.609971284866333,15.617055892944336
119288,,-1.5056836605072021,14.670694351196289
119289,-4.098606109619141,,
119356,-2.522334098815918,-0.3556332588195801,10.733304977416992
119423,,-0.37537404894828796,7.904390335083008
119424,-1.1279168128967285,,
119489,,,7.8684983253479
119490,-1.189831018447876,-0.968794047832489,
119558,,-1.2831511497497559,8.547760963439941
119559,-1.0375877618789673,,
119626,-0.6801598072052002,-1.2095718383789062,11.16461181640625
119692,,-0.8766704201698303,12.779168128967285
119693,0.8593224287033081,,
119760,0.7507480978965759,-1.048953652381897,12.305688858032227
119828,0.26201409101486206,-1.3875380754470825,9.441479682922363
119895,-0.9699904918670654,-1.114158034324646,10.026525497436523
119961,-0.8437690734863281,-0.13698910176753998,6.739983081817627
120028,,,6.3269219398498535
120029,-1.76051926612854,1.7303098440170288,
120098,-0.32273194193840027,1.830808401107788,7.271489143371582
120164,,,10.05703353881836
120165,-2.7071797847747803,1.770688772201538,
120230,,,14.114662170410156
120231,-2.9904301166534424,0.7127620577812195,
120300,-1.8744773864746094,-1.189831018447876,15.475281715393066
120367,,,10.191629409790039
120368,-1.7973089218139648,-1.4318052530288696,
120432,,,8.564510345458984
120433,-0.9705886840820312,-1.1045867204666138,
120502,0.5401797294616699,-0.7722834944725037,6.776772975921631
120572,0.5617151260375977,0.44446679949760437,6.0768723487854
120638,1.1434701681137085,0.9789635539054871,7.423133850097656
120704,,,10.476675033569336
120705,1.1703894138336182,1.0600204467773438,
120772,2.3590240478515625,1.6316059827804565,13.020245552062988
120838,,1.0992028713226318,14.56929874420166
120839,2.726621389389038,,
120906,2.0814566612243652,-0.08464609831571579,12.491132736206055
120972,2.322533369064331,-0.2626122832298279,9.75105094909668
121041,1.4817553758621216,0.4950151741504669,6.6230340003967285
121108,0.6559324860572815,1.1470593214035034,6.423532485961914
121180,0.3323032557964325,2.364407777786255,7.615756034851074
121249,0.7986045479774475,4.428516387939453,9.02243709564209
121316,1.6142579317092896,5.7888360023498535,10.738090515136719
121382,2.197807550430298,5.407480239868164,11.141879081726074
121451,5.104189872741699,5.265107154846191,11.344371795654297
121513,4.211667060852051,3.4851462841033936,8.048856735229492
121580,,3.3996028900146484,6.87517786026001
121581,4.602893352508545,,
121646,,4.113860130310059,3.6415770053863525
121647,4.94985294342041,,
121714,,4.345664978027344,4.206881523132324
121715,4.746462821960449,,
121783,4.742275238037109,5.377569675445557,4.4497528076171875
121849,5.612664699554443,7.176673412322998,4.466502666473389
121917,7.780860900878906,7.979764461517334,4.218546390533447
121983,9.816853523254395,8.38265609741211,4.525425910949707
122050,,,3.6993038654327393
122051,8.761619567871094,6.333502292633057,
122119,7.348657608032227,5.917749404907227,3.73669171333313
122187,6.227919101715088,5.351248741149902,4.693521499633789
122252,3.1627132892608643,3.8727834224700928,3.567997694015503
122321,,3.770191192626953,3.2676985263824463
122322,4.0441694259643555,,
122389,4.88345193862915,4.958526611328125,4.136591911315918
122456,,6.058028697967529,5.618945598602295
122459,4.446163654327393,,
122525,,7.506882667541504,7.806882858276367
122526,7.506882667541504,,
122594,7.960023403167725,6.824629306793213,9.401101112365723
122663,,,7.264609336853027
122664,5.296812057495117,4.612165451049805,
122731,,4.692923545837402,5.962913990020752
122732,6.152245998382568,,
122792,,,5.528317451477051
122793,5.189733028411865,4.878666400909424,
122861,3.8189449310302734,4.537988185882568,5.399404525756836
122938,4.836492538452148,4.433002948760986,6.09541654586792
122995,5.347360610961914,4.5670013427734375,7.05553674697876
123062,,,8.370990753173828
123063,7.4015984535217285,4.542175769805908,
123128,8.289934158325195,5.674578666687012,7.693522930145264
123198,7.1249284744262695,5.163113117218018,5.921039581298828
123264,,,4.8314080238342285
123265,9.107381820678711,4.156332969665527,
123331,7.132406234741211,3.2491540908813477,4.55563497543335
123400,5.175675392150879,3.0239295959472656,2.5414767265319824
123467,5.831906795501709,3.903291940689087,2.466701030731201
123535,6.473183631896973,5.531009674072266,5.211268424987793
123606,5.942574977874756,5.937490463256836,7.931908130645752
123677,,,9.978668212890625
123678,,5.260620594024658,
123750,8.825029373168945,3.487539052963257,10.050752639770508
123819,3.3296127319335938,1.5990036725997925,7.568199157714844
123869,3.4881372451782227,2.3359930515289307,7.902296543121338
123948,3.4316067695617676,2.5938198566436768,6.2413787841796875
124006,3.486342668533325,3.208775281906128,6.210870265960693
124073,,,7.641777992248535
124074,4.204787731170654,3.9795632362365723,
124143,5.761318683624268,5.001896858215332,8.11406135559082
124208,9.948758125305176,4.191627025604248,8.173283576965332
124276,9.453742980957031,3.7262229919433594,8.356036186218262
124351,7.345367431640625,1.2690932750701904,5.636891841888428
124409,,0.8805587291717529,2.6539394855499268
124410,8.056035995483398,,
124476,,,5.292026519775391
124477,6.451348781585693,-0.22103698551654816,
124556,2.1496520042419434,3.0882368087768555,6.493821620941162
124621,2.1649062633514404,3.4052858352661133,6.7417778968811035
124691,8.935098648071289,1.4261223077774048,9.577571868896484
124753,,,12.408281326293945
124754,4.917250633239746,3.2344980239868164,
124821,5.618347644805908,2.2082762718200684,11.583354949951172
124892,6.3239312171936035,0.17288143932819366,11.578868865966797
124948,,-0.28923243284225464,7.445566654205322
124949,2.196611166000366,,
125024,2.6554348468780518,0.4184448719024658,7.470093250274658
125095,4.0145583152771,0.7408776879310608,5.5758748054504395
125158,,,9.008976936340332
125159,2.002194404602051,1.2762718200683594,
125219,1.4682958126068115,2.2597219944000244,7.787142276763916
125289,0.44356951117515564,2.7523441314697266,8.6243314743042
125357,-0.6323033571243286,2.2917258739471436,12.135499000549316
125422,,1.709372639656067,13.656736373901367
125423,-1.8317056894302368,,
125489,-0.39990049600601196,-0.6849454641342163,12.647562980651855
125559,-1.0405787229537964,-0.08554340898990631,9.329316139221191
125624,-1.5263217687606812,-0.013459627516567707,8.254639625549316
125691,-1.0950154066085815,0.8883354067802429,7.365706443786621
125758,,,7.21735143661499
125759,-1.1697912216186523,1.934597134590149,
125826,-1.734796404838562,1.7171493768692017,10.254441261291504
125891,,1.8523437976837158,10.373185157775879
125892,-1.9896320104599,,
125960,-3.0287153720855713,1.0172487497329712,13.098609924316406
126028,-3.1331021785736084,-1.7075780630111694,14.794822692871094
126095,-3.5560336112976074,-0.23240290582180023,7.955836296081543
126163,-2.830111026763916,0.90358966588974,7.716553688049316
126228,-0.6281159520149231,0.5560321807861328,7.580761432647705
126307,,,7.8077802658081055
126308,-0.8748757839202881,1.09381902217865,
126374,-1.3558331727981567,1.8993029594421387,7.660621643066406
126431,-0.7262216806411743,2.1969103813171387,9.82702350616455
126507,-0.1779661774635315,1.848754644393921,14.127822875976562
126575,0.7360920906066895,0.5859424471855164,15.003296852111816
126644,0.0768694281578064,0.5285146832466125,10.383055686950684
126709,-0.8428717851638794,-0.18484555184841156,9.79262638092041
126776,0.1989033818244934,0.01615155301988125,6.917351245880127
126843,-0.05832505226135254,1.4291132688522339,5.606682777404785
126906,-0.04366901144385338,1.9405791759490967,8.42722225189209
126971,,1.6983058452606201,10.721639633178711
126972,-0.18005990982055664,,
127041,-0.654137909412384,1.989033818244934,11.40688419342041
127110,,,15.335001945495605
127111,-0.2153540402650833,-0.5392823815345764,
127180,-0.6230311989784241,-0.7734799385070801,10.942975997924805
127243,-2.9766714572906494,1.2128620147705078,8.273782730102539
127311,-1.414756417274475,1.1135598421096802,7.386045455932617
127380,-0.6290132403373718,0.7707880139350891,7.83619499206543
127443,,,8.033004760742188
127444,-0.6299105882644653,0.9744769930839539,
127513,-0.5482555031776428,1.8732810020446777,9.03380298614502
127580,,2.4726831912994385,12.622438430786133
127581,-0.40408793091773987,,
127644,-0.46031925082206726,2.934497833251953,15.108880043029785
127714,1.155434250831604,-0.08045866340398788,12.866506576538086
127783,0.41126638650894165,0.7109674215316772,8.994022369384766
127848,0.5210371017456055,-0.3355933725833893,9.122337341308594
127914,,,5.951249122619629
127915,0.23778675496578217,0.584446907043457,
127983,-0.12711870670318604,1.2559328079223633,6.160920143127441
128048,,,8.356334686279297
128049,0.10079765319824219,0.9071788787841797,
128117,,1.5158531665802002,9.73370361328125
128118,-0.651745080947876,,
128183,-1.6190435886383057,1.1159526109695435,14.245071411132812
